collection_date,IAV_North_1,IAV_North_2,Test_North_1,Test_North_2,Positive_North_1,Positive_North_2
2022/4/22,,,0,0,0,0
2022/4/23,,,0,0,0,0
2022/4/24,,,0,0,0,0
2022/4/25,,,0,0,0,0
2022/4/26,,,0,0,0,0
2022/4/27,,,0,0,0,0
2022/4/28,,,0,0,0,0
2022/4/29,,,0,0,0,0
2022/4/30,,,0,0,0,0
2022/5/1,,,0,0,0,0
2022/5/2,,,0,0,0,0
2022/5/3,,,0,0,0,0
2022/5/4,,,0,0,0,0
2022/5/5,,,0,0,0,0
2022/5/6,,,0,0,0,0
2022/5/7,,,0,0,0,0
2022/5/8,,,0,0,0,0
2022/5/9,,,0,0,0,0
2022/5/10,,,0,0,0,0
2022/5/11,,,0,0,0,0
2022/5/12,,,0,0,0,0
2022/5/13,,,0,0,0,0
2022/5/14,,,0,0,0,0
2022/5/15,,,0,0,0,0
2022/5/16,7701.808711,21378.23247,1,1,1,1
2022/5/17,27860.11745,7911.498016,1,1,1,1
2022/5/18,500,500,1,1,0,0
2022/5/19,,,0,0,0,0
2022/5/20,,,0,0,0,0
2022/5/21,,,0,0,0,0
2022/5/22,,,0,0,0,0
2022/5/23,3061.030248,6881.188416,1,1,1,1
2022/5/24,4313.213957,7141.385917,1,1,1,1
2022/5/25,28794.0417,18334.82734,1,1,1,1
2022/5/26,,,0,0,0,0
2022/5/27,,,0,0,0,0
2022/5/28,,,0,0,0,0
2022/5/29,,,0,0,0,0
2022/5/30,,,0,0,0,0
2022/5/31,5753.604917,7080.031838,1,1,1,1
2022/6/1,55242.4951,6275.767111,1,1,1,1
2022/6/2,15298.9644,500,1,1,1,0
2022/6/3,,,0,0,0,0
2022/6/4,,,0,0,0,0
2022/6/5,,,0,0,0,0
2022/6/6,11613.77275,500,1,1,1,0
2022/6/7,3923.024337,500,1,1,1,0
2022/6/8,500,500,1,1,0,0
2022/6/9,,,0,0,0,0
2022/6/10,,,0,0,0,0
2022/6/11,,,0,0,0,0
2022/6/12,,,0,0,0,0
2022/6/13,500,500,1,1,0,0
2022/6/14,14026.20063,500,1,1,1,0
2022/6/15,500,500,1,1,0,0
2022/6/16,,,0,0,0,0
2022/6/17,,,0,0,0,0
2022/6/18,,,0,0,0,0
2022/6/19,,,0,0,0,0
2022/6/20,500,500,1,1,0,0
2022/6/21,5328.751502,500,1,1,1,0
2022/6/22,500,500,1,1,0,0
2022/6/23,,,0,0,0,0
2022/6/24,,,0,0,0,0
2022/6/25,,,0,0,0,0
2022/6/26,,,0,0,0,0
2022/6/27,500,500,1,1,0,0
2022/6/28,500,500,1,1,0,0
2022/6/29,500,500,1,1,0,0
2022/6/30,,,0,0,0,0
2022/7/1,,,0,0,0,0
2022/7/2,,,0,0,0,0
2022/7/3,,,0,0,0,0
2022/7/4,,,0,0,0,0
2022/7/5,500,500,1,1,0,0
2022/7/6,500,500,1,1,0,0
2022/7/7,500,500,1,1,0,0
2022/7/8,,,0,0,0,0
2022/7/9,,,0,0,0,0
2022/7/10,,,0,0,0,0
2022/7/11,500,500,1,1,0,0
2022/7/12,500,500,1,1,0,0
2022/7/13,500,500,1,1,0,0
2022/7/14,,,0,0,0,0
2022/7/15,,,0,0,0,0
2022/7/16,,,0,0,0,0
2022/7/17,,,0,0,0,0
2022/7/18,500,500,1,1,0,0
2022/7/19,500,500,1,1,0,0
2022/7/20,500,500,1,1,0,0
2022/7/21,,,0,0,0,0
2022/7/22,,,0,0,0,0
2022/7/23,,,0,0,0,0
2022/7/24,,,0,0,0,0
2022/7/25,500,500,1,1,0,0
2022/7/26,,500,0,1,0,0
2022/7/27,500,500,1,1,0,0
2022/7/28,,,0,0,0,0
2022/7/29,,,0,0,0,0
2022/7/30,,,0,0,0,0
2022/7/31,,,0,0,0,0
2022/8/1,500,500,1,1,0,0
2022/8/2,500,500,1,1,0,0
2022/8/3,500,,1,0,0,0
2022/8/4,,,0,0,0,0
2022/8/5,,,0,0,0,0
2022/8/6,,,0,0,0,0
2022/8/7,,,0,0,0,0
2022/8/8,500,500,1,1,0,0
2022/8/9,500,500,1,1,0,0
2022/8/10,500,500,1,1,0,0
2022/8/11,,,0,0,0,0
2022/8/12,,,0,0,0,0
2022/8/13,,,0,0,0,0
2022/8/14,,,0,0,0,0
2022/8/15,500,500,1,1,0,0
2022/8/16,500,500,1,1,0,0
2022/8/17,500,500,1,1,0,0
2022/8/18,,,0,0,0,0
2022/8/19,,,0,0,0,0
2022/8/20,,,0,0,0,0
2022/8/21,,,0,0,0,0
2022/8/22,500,500,1,1,0,0
2022/8/23,500,10353.86608,1,1,0,1
2022/8/24,500,500,1,1,0,0
2022/8/25,,,0,0,0,0
2022/8/26,,,0,0,0,0
2022/8/27,,,0,0,0,0
2022/8/28,,,0,0,0,0
2022/8/29,500,500,1,1,0,0
2022/8/30,500,500,1,1,0,0
2022/8/31,500,500,1,1,0,0
2022/9/1,,,0,0,0,0
2022/9/2,,,0,0,0,0
2022/9/3,,,0,0,0,0
2022/9/4,,,0,0,0,0
2022/9/5,,,0,0,0,0
2022/9/6,500,500,1,1,0,0
2022/9/7,500,500,1,1,0,0
2022/9/8,,,0,0,0,0
2022/9/9,,,0,0,0,0
2022/9/10,,,0,0,0,0
2022/9/11,,,0,0,0,0
2022/9/12,500,500,1,1,0,0
2022/9/13,500,500,1,1,0,0
2022/9/14,500,500,1,1,0,0
2022/9/15,,,0,0,0,0
2022/9/16,,,0,0,0,0
2022/9/17,,,0,0,0,0
2022/9/18,,,0,0,0,0
2022/9/19,500,500,1,1,0,0
2022/9/20,500,500,1,1,0,0
2022/9/21,500,8612.053735,1,1,0,1
2022/9/22,,,0,0,0,0
2022/9/23,,,0,0,0,0
2022/9/24,,,0,0,0,0
2022/9/25,,,0,0,0,0
2022/9/26,500,500,1,1,0,0
2022/9/27,500,500,1,1,0,0
2022/9/28,500,500,1,1,0,0
2022/9/29,,,0,0,0,0
2022/9/30,,,0,0,0,0
2022/10/1,,,0,0,0,0
2022/10/2,,,0,0,0,0
2022/10/3,500,500,1,1,0,0
2022/10/4,500,5058.642418,1,1,0,1
2022/10/5,9680.60413,21496.19498,1,1,1,1
2022/10/6,,,0,0,0,0
2022/10/7,,,0,0,0,0
2022/10/8,,,0,0,0,0
2022/10/9,,,0,0,0,0
2022/10/10,500,500,1,1,0,0
2022/10/11,500,2803.786632,1,1,0,1
2022/10/12,16543.43128,500,1,1,1,0
2022/10/13,,,0,0,0,0
2022/10/14,,,0,0,0,0
2022/10/15,,,0,0,0,0
2022/10/16,,,0,0,0,0
2022/10/17,500,15087.83507,1,1,0,1
2022/10/18,500,500,1,1,0,0
2022/10/19,500,500,1,1,0,0
2022/10/20,,,0,0,0,0
2022/10/21,,,0,0,0,0
2022/10/22,,,0,0,0,0
2022/10/23,,,0,0,0,0
2022/10/24,500,500,1,1,0,0
2022/10/25,500,2338.303079,1,1,0,1
2022/10/26,500,4468.506575,1,1,0,1
2022/10/27,,,0,0,0,0
2022/10/28,,,0,0,0,0
2022/10/29,,,0,0,0,0
2022/10/30,,,0,0,0,0
2022/10/31,14500.07993,16692.46382,1,1,1,1
2022/11/1,32784.57737,7648.497055,1,1,1,1
2022/11/2,14288.06986,6435.969213,1,1,1,1
2022/11/3,,,0,0,0,0
2022/11/4,,,0,0,0,0
2022/11/5,,,0,0,0,0
2022/11/6,,,0,0,0,0
2022/11/7,500,13951.04567,1,1,0,1
2022/11/8,10789.33658,24988.09742,1,1,1,1
2022/11/9,78654.58299,106874.509,1,1,1,1
2022/11/10,,,0,0,0,0
2022/11/11,,,0,0,0,0
2022/11/12,,,0,0,0,0
2022/11/13,,,0,0,0,0
2022/11/14,16527.62155,,1,0,1,0
2022/11/15,29829.57968,17313.40377,1,1,1,1
2022/11/16,,48790.28429,0,1,0,1
2022/11/17,,,0,0,0,0
2022/11/18,,,0,0,0,0
2022/11/19,,,0,0,0,0
2022/11/20,,,0,0,0,0
2022/11/21,26927.42575,16882.20948,1,1,1,1
2022/11/22,60207.45582,33920.94338,1,1,1,1
2022/11/23,119827.1708,16703.34525,1,1,1,1
2022/11/24,,,0,0,0,0
2022/11/25,,,0,0,0,0
2022/11/26,,,0,0,0,0
2022/11/27,,,0,0,0,0
2022/11/28,49337.55635,25460.22791,1,1,1,1
2022/11/29,60426.84062,104053.7046,1,1,1,1
2022/11/30,91663.68606,119674.9755,1,1,1,1
2022/12/1,,,0,0,0,0
2022/12/2,,,0,0,0,0
2022/12/3,,,0,0,0,0
2022/12/4,,,0,0,0,0
2022/12/5,10568.58519,26574.07064,1,1,1,1
2022/12/6,48555.23829,110271.1502,1,1,1,1
2022/12/7,101099.4444,84737.26579,1,1,1,1
2022/12/8,,,0,0,0,0
2022/12/9,,,0,0,0,0
2022/12/10,,,0,0,0,0
2022/12/11,,,0,0,0,0
2022/12/12,56988.52017,15256.93515,1,1,1,1
2022/12/13,124404.6105,126093.8291,1,1,1,1
2022/12/14,162483.5713,31612.86759,1,1,1,1
2022/12/15,,,0,0,0,0
2022/12/16,,,0,0,0,0
2022/12/17,,,0,0,0,0
2022/12/18,,,0,0,0,0
2022/12/19,81906.37234,23487.71715,1,1,1,1
2022/12/20,129677.6037,182314.0525,1,1,1,1
2022/12/21,,63185.84072,0,1,0,1
2022/12/22,,,0,0,0,0
2022/12/23,,,0,0,0,0
2022/12/24,,,0,0,0,0
2022/12/25,,,0,0,0,0
2022/12/26,,,0,0,0,0
2022/12/27,19448.94042,34234.27014,1,1,1,1
2022/12/28,30203.8112,21461.98002,1,1,1,1
2022/12/29,,,0,0,0,0
2022/12/30,,,0,0,0,0
2022/12/31,,,0,0,0,0
2023/1/1,,,0,0,0,0
2023/1/2,,,0,0,0,0
2023/1/3,10945.75127,26314.00645,1,1,1,1
2023/1/4,125920.1759,22708.74931,1,1,1,1
2023/1/5,,,0,0,0,0
2023/1/6,,,0,0,0,0
2023/1/7,,,0,0,0,0
2023/1/8,,,0,0,0,0
2023/1/9,11288.50049,13426.80166,1,1,1,1
2023/1/10,147700.146,13451.64095,1,1,1,1
2023/1/11,23300.8051,5525.802169,1,1,1,1
2023/1/12,,,0,0,0,0
2023/1/13,,,0,0,0,0
2023/1/14,,,0,0,0,0
2023/1/15,,,0,0,0,0
2023/1/16,,,0,0,0,0
2023/1/17,4400.757498,2410.205584,1,1,1,1
2023/1/18,20495.90906,3163.08405,1,1,1,1
2023/1/19,5591.268341,500,1,1,1,0
2023/1/20,15129.97349,7793.223923,1,1,1,1
2023/1/21,,,0,0,0,0
2023/1/22,,,0,0,0,0
2023/1/23,500,500,1,1,0,0
2023/1/24,500,500,1,1,0,0
2023/1/25,500,500,1,1,0,0
2023/1/26,,,0,0,0,0
2023/1/27,,,0,0,0,0
2023/1/28,,,0,0,0,0
2023/1/29,,,0,0,0,0
2023/1/30,500,500,1,1,0,0
2023/1/31,6537.633283,4329.835182,1,1,1,1
2023/2/1,10859.64082,11241.76131,1,1,1,1
2023/2/2,,,0,0,0,0
2023/2/3,,,0,0,0,0
2023/2/4,,,0,0,0,0
2023/2/5,,,0,0,0,0
2023/2/6,500,500,1,1,0,0
2023/2/7,500,500,1,1,0,0
2023/2/8,500,500,1,1,0,0
2023/2/9,,,0,0,0,0
2023/2/10,,,0,0,0,0
2023/2/11,,,0,0,0,0
2023/2/12,,,0,0,0,0
2023/2/13,500,500,1,1,0,0
2023/2/14,8233.987767,4381.169017,1,1,1,1
2023/2/15,500,500,1,1,0,0
2023/2/16,,,0,0,0,0
2023/2/17,,,0,0,0,0
2023/2/18,,,0,0,0,0
2023/2/19,,,0,0,0,0
2023/2/20,,,0,0,0,0
2023/2/21,500,11009.67032,1,1,0,1
2023/2/22,8500.629324,500,1,1,1,0
2023/2/23,4200.634918,500,1,1,1,0
2023/2/24,,,0,0,0,0
2023/2/25,,,0,0,0,0
2023/2/26,,,0,0,0,0
2023/2/27,500,500,1,1,0,0
2023/2/28,500,500,1,1,0,0
2023/3/1,500,500,1,1,0,0
2023/3/2,,,0,0,0,0
2023/3/3,,,0,0,0,0
2023/3/4,,,0,0,0,0
2023/3/5,,,0,0,0,0
2023/3/6,500,500,1,1,0,0
2023/3/7,500,500,1,1,0,0
2023/3/8,500,500,1,1,0,0
2023/3/9,,,0,0,0,0
2023/3/10,,,0,0,0,0
2023/3/11,,,0,0,0,0
2023/3/12,,,0,0,0,0
2023/3/13,500,500,1,1,0,0
2023/3/14,500,500,1,1,0,0
2023/3/15,500,500,1,1,0,0
2023/3/16,,,0,0,0,0
2023/3/17,,,0,0,0,0
2023/3/18,,,0,0,0,0
2023/3/19,,,0,0,0,0
2023/3/20,500,500,1,1,0,0
2023/3/21,500,500,1,1,0,0
2023/3/22,3949.196224,8776.634534,1,1,1,1
2023/3/23,,,0,0,0,0
2023/3/24,,,0,0,0,0
2023/3/25,,,0,0,0,0
2023/3/26,,,0,0,0,0
2023/3/27,500,500,1,1,0,0
2023/3/28,4434.777417,500,1,1,1,0
2023/3/29,500,500,1,1,0,0
2023/3/30,,,0,0,0,0
2023/3/31,,,0,0,0,0
2023/4/1,,,0,0,0,0
2023/4/2,,,0,0,0,0
2023/4/3,500,500,1,1,0,0
2023/4/4,500,500,1,1,0,0
2023/4/5,500,4062.665049,1,1,0,1
2023/4/6,,,0,0,0,0
2023/4/7,,,0,0,0,0
2023/4/8,,,0,0,0,0
2023/4/9,,,0,0,0,0
2023/4/10,500,500,1,1,0,0
2023/4/11,500,500,1,1,0,0
2023/4/12,500,500,1,1,0,0
2023/4/13,,,0,0,0,0
2023/4/14,,,0,0,0,0
2023/4/15,,,0,0,0,0
2023/4/16,,,0,0,0,0
2023/4/17,500,500,1,1,0,0
2023/4/18,500,500,1,1,0,0
2023/4/19,500,500,1,1,0,0
2023/4/20,,,0,0,0,0
2023/4/21,,,0,0,0,0
2023/4/22,,,0,0,0,0
2023/4/23,,,0,0,0,0
2023/4/24,500,500,1,1,0,0
2023/4/25,500,500,1,1,0,0
2023/4/26,500,500,1,1,0,0
2023/4/27,,,0,0,0,0
2023/4/28,,,0,0,0,0
2023/4/29,,,0,0,0,0
2023/4/30,,,0,0,0,0
2023/5/1,500,500,1,1,0,0
2023/5/2,500,500,1,1,0,0
2023/5/3,500,500,1,1,0,0
2023/5/4,,,0,0,0,0
2023/5/5,,,0,0,0,0
2023/5/6,,,0,0,0,0
2023/5/7,,,0,0,0,0
2023/5/8,500,500,1,1,0,0
2023/5/9,500,500,1,1,0,0
2023/5/10,500,500,1,1,0,0
2023/5/11,,,0,0,0,0
2023/5/12,,,0,0,0,0
2023/5/13,,,0,0,0,0
2023/5/14,,,0,0,0,0
2023/5/15,500,500,1,1,0,0
2023/5/16,500,500,1,1,0,0
2023/5/17,500,500,1,1,0,0
2023/5/18,,,0,0,0,0
2023/5/19,,,0,0,0,0
2023/5/20,,,0,0,0,0
2023/5/21,,,0,0,0,0
2023/5/22,500,500,1,1,0,0
2023/5/23,500,500,1,1,0,0
2023/5/24,500,500,1,1,0,0
2023/5/25,,,0,0,0,0
2023/5/26,,,0,0,0,0
2023/5/27,,,0,0,0,0
2023/5/28,,,0,0,0,0
2023/5/29,,,0,0,0,0
2023/5/30,500,500,1,1,0,0
2023/5/31,500,500,1,1,0,0
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
