collection_date,RSV_North,RSV_North,Test_North_1,Test_North_2,Positive_North_1,Positive_North_2
2022/4/23,,,0,0,0,0
2022/4/24,,,0,0,0,0
2022/4/25,,,0,0,0,0
2022/4/26,,,0,0,0,0
2022/4/27,,,0,0,0,0
2022/4/28,,,0,0,0,0
2022/4/29,,,0,0,0,0
2022/4/30,,,0,0,0,0
2022/5/1,,,0,0,0,0
2022/5/2,,,0,0,0,0
2022/5/3,,,0,0,0,0
2022/5/4,,,0,0,0,0
2022/5/5,,,0,0,0,0
2022/5/6,,,0,0,0,0
2022/5/7,,,0,0,0,0
2022/5/8,,,0,0,0,0
2022/5/9,,,0,0,0,0
2022/5/10,,,0,0,0,0
2022/5/11,,,0,0,0,0
2022/5/12,,,0,0,0,0
2022/5/13,,,0,0,0,0
2022/5/14,,,0,0,0,0
2022/5/15,,,0,0,0,0
2022/5/16,5776.320895,500,1,1,1,0
2022/5/17,500,9889.418549,1,1,0,1
2022/5/18,500,500,1,1,0,0
2022/5/19,,,0,0,0,0
2022/5/20,,,0,0,0,0
2022/5/21,,,0,0,0,0
2022/5/22,,,0,0,0,0
2022/5/23,500,5160.8576,1,1,0,1
2022/5/24,500,500,1,1,0,0
2022/5/25,500,500,1,1,0,0
2022/5/26,,,0,0,0,0
2022/5/27,,,0,0,0,0
2022/5/28,,,0,0,0,0
2022/5/29,,,0,0,0,0
2022/5/30,,,0,0,0,0
2022/5/31,500,500,1,1,0,0
2022/6/1,500,500,1,1,0,0
2022/6/2,500,500,1,1,0,0
2022/6/3,,,0,0,0,0
2022/6/4,,,0,0,0,0
2022/6/5,,,0,0,0,0
2022/6/6,500,500,1,1,0,0
2022/6/7,500,500,1,1,0,0
2022/6/8,500,500,1,1,0,0
2022/6/9,,,0,0,0,0
2022/6/10,,,0,0,0,0
2022/6/11,,,0,0,0,0
2022/6/12,,,0,0,0,0
2022/6/13,500,500,1,1,0,0
2022/6/14,500,500,1,1,0,0
2022/6/15,500,500,1,1,0,0
2022/6/16,,,0,0,0,0
2022/6/17,,,0,0,0,0
2022/6/18,,,0,0,0,0
2022/6/19,,,0,0,0,0
2022/6/20,500,500,1,1,0,0
2022/6/21,500,500,1,1,0,0
2022/6/22,500,500,1,1,0,0
2022/6/23,,,0,0,0,0
2022/6/24,,,0,0,0,0
2022/6/25,,,0,0,0,0
2022/6/26,,,0,0,0,0
2022/6/27,3426.174769,500,1,1,1,0
2022/6/28,500,500,1,1,0,0
2022/6/29,500,500,1,1,0,0
2022/6/30,,,0,0,0,0
2022/7/1,,,0,0,0,0
2022/7/2,,,0,0,0,0
2022/7/3,,,0,0,0,0
2022/7/4,,,0,0,0,0
2022/7/5,500,500,1,1,0,0
2022/7/6,500,22743.79234,1,1,0,1
2022/7/7,500,500,1,1,0,0
2022/7/8,,,0,0,0,0
2022/7/9,,,0,0,0,0
2022/7/10,,,0,0,0,0
2022/7/11,500,500,1,1,0,0
2022/7/12,3182.176015,500,1,1,1,0
2022/7/13,500,500,1,1,0,0
2022/7/14,,,0,0,0,0
2022/7/15,,,0,0,0,0
2022/7/16,,,0,0,0,0
2022/7/17,,,0,0,0,0
2022/7/18,500,500,1,1,0,0
2022/7/19,500,500,1,1,0,0
2022/7/20,500,500,1,1,0,0
2022/7/21,,,0,0,0,0
2022/7/22,,,0,0,0,0
2022/7/23,,,0,0,0,0
2022/7/24,,,0,0,0,0
2022/7/25,3961.944088,500,1,1,1,0
2022/7/26,,500,0,1,0,0
2022/7/27,500,500,1,1,0,0
2022/7/28,,,0,0,0,0
2022/7/29,,,0,0,0,0
2022/7/30,,,0,0,0,0
2022/7/31,,,0,0,0,0
2022/8/1,500,500,1,1,0,0
2022/8/2,500,500,1,1,0,0
2022/8/3,500,,1,0,0,0
2022/8/4,,,0,0,0,0
2022/8/5,,,0,0,0,0
2022/8/6,,,0,0,0,0
2022/8/7,,,0,0,0,0
2022/8/8,500,500,1,1,0,0
2022/8/9,500,500,1,1,0,0
2022/8/10,500,500,1,1,0,0
2022/8/11,,,0,0,0,0
2022/8/12,,,0,0,0,0
2022/8/13,,,0,0,0,0
2022/8/14,,,0,0,0,0
2022/8/15,500,500,1,1,0,0
2022/8/16,500,500,1,1,0,0
2022/8/17,2788.627557,500,1,1,1,0
2022/8/18,,,0,0,0,0
2022/8/19,,,0,0,0,0
2022/8/20,,,0,0,0,0
2022/8/21,,,0,0,0,0
2022/8/22,67063.10368,500,1,1,1,0
2022/8/23,500,500,1,1,0,0
2022/8/24,109523.6398,500,1,1,1,0
2022/8/25,,,0,0,0,0
2022/8/26,,,0,0,0,0
2022/8/27,,,0,0,0,0
2022/8/28,,,0,0,0,0
2022/8/29,3739.94575,500,1,1,1,0
2022/8/30,500,4839.012736,1,1,0,1
2022/8/31,500,5633.14834,1,1,0,1
2022/9/1,,,0,0,0,0
2022/9/2,,,0,0,0,0
2022/9/3,,,0,0,0,0
2022/9/4,,,0,0,0,0
2022/9/5,,,0,0,0,0
2022/9/6,500,500,1,1,0,0
2022/9/7,500,500,1,1,0,0
2022/9/8,,,0,0,0,0
2022/9/9,,,0,0,0,0
2022/9/10,,,0,0,0,0
2022/9/11,,,0,0,0,0
2022/9/12,500,500,1,1,0,0
2022/9/13,500,500,1,1,0,0
2022/9/14,500,500,1,1,0,0
2022/9/15,,,0,0,0,0
2022/9/16,,,0,0,0,0
2022/9/17,,,0,0,0,0
2022/9/18,,,0,0,0,0
2022/9/19,500,500,1,1,0,0
2022/9/20,500,500,1,1,0,0
2022/9/21,12655.31265,9280.658904,1,1,1,1
2022/9/22,,,0,0,0,0
2022/9/23,,,0,0,0,0
2022/9/24,,,0,0,0,0
2022/9/25,,,0,0,0,0
2022/9/26,4226.164133,500,1,1,1,0
2022/9/27,500,41819.80584,1,1,0,1
2022/9/28,2034.014628,500,1,1,1,0
2022/9/29,,,0,0,0,0
2022/9/30,,,0,0,0,0
2022/10/1,,,0,0,0,0
2022/10/2,,,0,0,0,0
2022/10/3,3704.680337,12044.01371,1,1,1,1
2022/10/4,500,57244.59981,1,1,0,1
2022/10/5,22987.62929,196342.5026,1,1,1,1
2022/10/6,,,0,0,0,0
2022/10/7,,,0,0,0,0
2022/10/8,,,0,0,0,0
2022/10/9,,,0,0,0,0
2022/10/10,12947.18671,3891.956445,1,1,1,1
2022/10/11,39755.59736,99137.05248,1,1,1,1
2022/10/12,29064.51543,86797.26918,1,1,1,1
2022/10/13,,,0,0,0,0
2022/10/14,,,0,0,0,0
2022/10/15,,,0,0,0,0
2022/10/16,,,0,0,0,0
2022/10/17,12577.29303,96843.68509,1,1,1,1
2022/10/18,24208.47505,199362.956,1,1,1,1
2022/10/19,43448.83713,34322.82777,1,1,1,1
2022/10/20,,,0,0,0,0
2022/10/21,,,0,0,0,0
2022/10/22,,,0,0,0,0
2022/10/23,,,0,0,0,0
2022/10/24,31300.1668,14030.16475,1,1,1,1
2022/10/25,78740.53021,56981.91233,1,1,1,1
2022/10/26,54996.03795,101395.5371,1,1,1,1
2022/10/27,,,0,0,0,0
2022/10/28,,,0,0,0,0
2022/10/29,,,0,0,0,0
2022/10/30,,,0,0,0,0
2022/10/31,13636.03604,54994.53552,1,1,1,1
2022/11/1,34707.88372,62457.39032,1,1,1,1
2022/11/2,68973.61991,89642.06363,1,1,1,1
2022/11/3,,,0,0,0,0
2022/11/4,,,0,0,0,0
2022/11/5,,,0,0,0,0
2022/11/6,,,0,0,0,0
2022/11/7,62813.11281,37712.70116,1,1,1,1
2022/11/8,31103.85045,41445.59775,1,1,1,1
2022/11/9,17767.58427,541128.6866,1,1,1,1
2022/11/10,,,0,0,0,0
2022/11/11,,,0,0,0,0
2022/11/12,,,0,0,0,0
2022/11/13,,,0,0,0,0
2022/11/14,33902.4258,,1,0,1,0
2022/11/15,71410.11102,52250.05782,1,1,1,1
2022/11/16,,56620.58621,0,1,0,1
2022/11/17,,,0,0,0,0
2022/11/18,,,0,0,0,0
2022/11/19,,,0,0,0,0
2022/11/20,,,0,0,0,0
2022/11/21,38563.83537,70230.43286,1,1,1,1
2022/11/22,82465.68796,178255.2373,1,1,1,1
2022/11/23,93365.35759,52431.20464,1,1,1,1
2022/11/24,,,0,0,0,0
2022/11/25,,,0,0,0,0
2022/11/26,,,0,0,0,0
2022/11/27,,,0,0,0,0
2022/11/28,79390.60426,54354.82853,1,1,1,1
2022/11/29,91230.14957,123368.3047,1,1,1,1
2022/11/30,118843.6765,107748.3245,1,1,1,1
2022/12/1,,,0,0,0,0
2022/12/2,,,0,0,0,0
2022/12/3,,,0,0,0,0
2022/12/4,,,0,0,0,0
2022/12/5,7624.276926,63533.02491,1,1,1,1
2022/12/6,26149.08681,161459.0355,1,1,1,1
2022/12/7,181834.4265,298541.0154,1,1,1,1
2022/12/8,,,0,0,0,0
2022/12/9,,,0,0,0,0
2022/12/10,,,0,0,0,0
2022/12/11,,,0,0,0,0
2022/12/12,65307.42558,51776.20635,1,1,1,1
2022/12/13,79753.82487,267881.9283,1,1,1,1
2022/12/14,37138.07,12813.24474,1,1,1,1
2022/12/15,,,0,0,0,0
2022/12/16,,,0,0,0,0
2022/12/17,,,0,0,0,0
2022/12/18,,,0,0,0,0
2022/12/19,27318.50446,29195.11679,1,1,1,1
2022/12/20,57991.68845,21370.20684,1,1,1,1
2022/12/21,,3938.763201,0,1,0,1
2022/12/22,,,0,0,0,0
2022/12/23,,,0,0,0,0
2022/12/24,,,0,0,0,0
2022/12/25,,,0,0,0,0
2022/12/26,,,0,0,0,0
2022/12/27,16674.01557,23950.6478,1,1,1,1
2022/12/28,7822.553991,8385.428027,1,1,1,1
2022/12/29,,,0,0,0,0
2022/12/30,,,0,0,0,0
2022/12/31,,,0,0,0,0
2023/1/1,,,0,0,0,0
2023/1/2,,,0,0,0,0
2023/1/3,39551.28459,25658.23295,1,1,1,1
2023/1/4,445179.6735,80577.3627,1,1,1,1
2023/1/5,,,0,0,0,0
2023/1/6,,,0,0,0,0
2023/1/7,,,0,0,0,0
2023/1/8,,,0,0,0,0
2023/1/9,51020.93352,70357.52182,1,1,1,1
2023/1/10,24478.06705,48638.66624,1,1,1,1
2023/1/11,17775.60234,108724.68,1,1,1,1
2023/1/12,,,0,0,0,0
2023/1/13,,,0,0,0,0
2023/1/14,,,0,0,0,0
2023/1/15,,,0,0,0,0
2023/1/16,,,0,0,0,0
2023/1/17,53319.08532,20956.35948,1,1,1,1
2023/1/18,6092.718046,20099.0967,1,1,1,1
2023/1/19,12293.88405,16546.98621,1,1,1,1
2023/1/20,25942.9872,31734.63593,1,1,1,1
2023/1/21,,,0,0,0,0
2023/1/22,,,0,0,0,0
2023/1/23,54327.5663,26875.03432,1,1,1,1
2023/1/24,10471.37048,11717.21485,1,1,1,1
2023/1/25,16017.72415,10352.76542,1,1,1,1
2023/1/26,,,0,0,0,0
2023/1/27,,,0,0,0,0
2023/1/28,,,0,0,0,0
2023/1/29,,,0,0,0,0
2023/1/30,500,19019.15113,1,1,0,1
2023/1/31,20496.39339,500,1,1,1,0
2023/2/1,25123.63403,10401.20313,1,1,1,1
2023/2/2,,,0,0,0,0
2023/2/3,,,0,0,0,0
2023/2/4,,,0,0,0,0
2023/2/5,,,0,0,0,0
2023/2/6,41097.68484,500,1,1,1,0
2023/2/7,10922.19778,4064.138419,1,1,1,1
2023/2/8,6350.602561,10633.6489,1,1,1,1
2023/2/9,,,0,0,0,0
2023/2/10,,,0,0,0,0
2023/2/11,,,0,0,0,0
2023/2/12,,,0,0,0,0
2023/2/13,500,500,1,1,0,0
2023/2/14,500,45942.76177,1,1,0,1
2023/2/15,6676.654623,12441.13006,1,1,1,1
2023/2/16,,,0,0,0,0
2023/2/17,,,0,0,0,0
2023/2/18,,,0,0,0,0
2023/2/19,,,0,0,0,0
2023/2/20,,,0,0,0,0
2023/2/21,4930.652144,8641.389245,1,1,1,1
2023/2/22,4222.462332,500,1,1,1,0
2023/2/23,500,500,1,1,0,0
2023/2/24,,,0,0,0,0
2023/2/25,,,0,0,0,0
2023/2/26,,,0,0,0,0
2023/2/27,9702.194549,500,1,1,1,0
2023/2/28,500,500,1,1,0,0
2023/3/1,500,500,1,1,0,0
2023/3/2,,,0,0,0,0
2023/3/3,,,0,0,0,0
2023/3/4,,,0,0,0,0
2023/3/5,,,0,0,0,0
2023/3/6,69190.45921,29044.91378,1,1,1,1
2023/3/7,6862.36057,500,1,1,1,0
2023/3/8,500,500,1,1,0,0
2023/3/9,,,0,0,0,0
2023/3/10,,,0,0,0,0
2023/3/11,,,0,0,0,0
2023/3/12,,,0,0,0,0
2023/3/13,6349.03424,3589.372151,1,1,1,1
2023/3/14,49125.79646,12624.02081,1,1,1,1
2023/3/15,7559.240349,11172.94335,1,1,1,1
2023/3/16,,,0,0,0,0
2023/3/17,,,0,0,0,0
2023/3/18,,,0,0,0,0
2023/3/19,,,0,0,0,0
2023/3/20,8909.496289,4255.677626,1,1,1,1
2023/3/21,500,500,1,1,0,0
2023/3/22,500,500,1,1,0,0
2023/3/23,,,0,0,0,0
2023/3/24,,,0,0,0,0
2023/3/25,,,0,0,0,0
2023/3/26,,,0,0,0,0
2023/3/27,9614.795096,2940.064501,1,1,1,1
2023/3/28,500,2504.517724,1,1,0,1
2023/3/29,4484.856112,500,1,1,1,0
2023/3/30,,,0,0,0,0
2023/3/31,,,0,0,0,0
2023/4/1,,,0,0,0,0
2023/4/2,,,0,0,0,0
2023/4/3,500,5079.752286,1,1,0,1
2023/4/4,500,500,1,1,0,0
2023/4/5,500,500,1,1,0,0
2023/4/6,,,0,0,0,0
2023/4/7,,,0,0,0,0
2023/4/8,,,0,0,0,0
2023/4/9,,,0,0,0,0
2023/4/10,500,500,1,1,0,0
2023/4/11,500,500,1,1,0,0
2023/4/12,500,500,1,1,0,0
2023/4/13,,,0,0,0,0
2023/4/14,,,0,0,0,0
2023/4/15,,,0,0,0,0
2023/4/16,,,0,0,0,0
2023/4/17,500,500,1,1,0,0
2023/4/18,500,500,1,1,0,0
2023/4/19,500,500,1,1,0,0
2023/4/20,,,0,0,0,0
2023/4/21,,,0,0,0,0
2023/4/22,,,0,0,0,0
2023/4/23,,,0,0,0,0
2023/4/24,500,500,1,1,0,0
2023/4/25,7373.25312,500,1,1,1,0
2023/4/26,500,500,1,1,0,0
2023/4/27,,,0,0,0,0
2023/4/28,,,0,0,0,0
2023/4/29,,,0,0,0,0
2023/4/30,,,0,0,0,0
2023/5/1,500,500,1,1,0,0
2023/5/2,500,500,1,1,0,0
2023/5/3,500,500,1,1,0,0
2023/5/4,,,0,0,0,0
2023/5/5,,,0,0,0,0
2023/5/6,,,0,0,0,0
2023/5/7,,,0,0,0,0
2023/5/8,500,4608.077203,1,1,0,1
2023/5/9,500,500,1,1,0,0
2023/5/10,500,500,1,1,0,0
2023/5/11,,,0,0,0,0
2023/5/12,,,0,0,0,0
2023/5/13,,,0,0,0,0
2023/5/14,,,0,0,0,0
2023/5/15,500,500,1,1,0,0
2023/5/16,500,7144.994199,1,1,0,1
2023/5/17,500,500,1,1,0,0
2023/5/18,,,0,0,0,0
2023/5/19,,,0,0,0,0
2023/5/20,,,0,0,0,0
2023/5/21,,,0,0,0,0
2023/5/22,500,500,1,1,0,0
2023/5/23,500,500,1,1,0,0
2023/5/24,500,500,1,1,0,0
2023/5/25,,,0,0,0,0
2023/5/26,,,0,0,0,0
2023/5/27,,,0,0,0,0
2023/5/28,,,0,0,0,0
2023/5/29,,,0,0,0,0
2023/5/30,500,500,1,1,0,0
2023/5/31,500,19701.6221,1,1,0,1
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,500,500,,,,
,500,500,,,,
,500,500,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,500,2010.957071,,,,
,500,500,,,,
,500,500,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,500,500,,,,
,500,500,,,,
,500,500,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,500,500,,,,
,500,500,,,,
,500,500,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,3467.012597,500,,,,
,,,,,,
,500,500,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,500,500,,,,
,500,500,,,,
,,,,,,
,500,500,,,,
,,,,,,
,,,,,,
,,,,,,
,500,500,,,,
,5980.103848,500,,,,
,500,5712.175855,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,500,500,,,,
,500,500,,,,
,500,500,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
